lane_id,pickup_city,pickup_state,delivery_city,delivery_state
eedd95779114b97099e145b0992cc450,WILLIAMSBURG,VA,ROCKY MOUNT,NC
72c9e2dc91a13c04201215a7750b9f4d,CARSON,CA,LAS VEGAS,NV
9c6e53566a00c23a7b6892d5c85d1cfc,HIALEAH,FL,RICHBURG,SC
8c81385b1870fbf5f06a7273942a17a0,EL PASO,TX,LAREDO,TX
4959a630d23cce6da304d518b7bd5355,STOCKTON,CA,TRACY,CA
8a5396139be5cc75277a20a8c2ef5d94,BELLEVUE,WA,PORTLAND,OR
b08774e2f0fbb5dcaed8edc2cbcc10b4,READING,PA,JOLIET,IL
e9b0ee6f4b07de2481933010e7301b5c,BETHLEHEM,PA,PITTSBURGH,PA
e27bb7a36539b6720e8b8e43e39b02b5,HAWKINS,TX,ROANOKE,TX
af7690263ad27809bbcd9cbfdc27f05c,NORTH EAST,MD,LEXINGTON,KY
f4f0db67b15934fbfaa54e0cb6f81f50,RALEIGH,NC,YORK,PA
b58a4ea616a336b9becbd5b21a901016,LOS ANGELES,CA,SAN MARCOS,CA
ca463ad21c9b36e46335a4095ca2bd92,CARTERSVILLE,GA,RALEIGH,NC
6dc293c905c864b8c2123685a14e5b7b,MCCOOK,NE,STERLING,IL
e38c2f646ef1a65c5e12c3b762f49191,JACKSONVILLE,FL,SARASOTA,FL
e04ed4b4c348838a5b6380619bab24ef,DENVER,CO,PONCA CITY,OK
ed4441e6b4f47e49c874c0c45ab595c4,NEWARK,NJ,LEETSDALE,PA
3eb8b0b6c81c79dac6fbc56ae247c68e,BALTIMORE,MD,WALLKILL,NY
d72ac07a749ed776bfc770b1a54ca89f,COLUMBUS,OH,HAZARD,KY
ac19841bafea14510160990f824d0d37,PHILADELPHIA,PA,SEYMOUR,CT
2c395161d760e78cb1271563281caa49,CROWS LANDING,CA,COMMERCE,CA
8131fd315b0c79d5a643053493ed527f,CARTERSVILLE,GA,VALDOSTA,GA
416c12f9095b49892f92cbe5308c4e47,WANAQUE,NJ,LYNBROOK,NY
1e918f827ff8172228d7cec4aaed0033,KUTZTOWN,PA,SHIPSHEWANA,IN
650de33740638cf441d4d9c96c54c780,CARLISLE,PA,HATFIELD,PA
7c2455a8189235dd38747381e800e8db,COLONIAL HEIGHTS,VA,PHILADELPHIA,PA
e00713db9a5966b08cd7d88721fe8a2e,BRAITHWAITE,LA,CHAPEL HILL,TN
d70c44fa1a3572ebaffa1aab5e658a82,MCDONOUGH,GA,COLLEGE PARK,GA
f10f9ee36436bbe05cc16d1754a418bf,PHILADELPHIA,PA,CLEVELAND,OH
41d74cd7474990d9c767f6b9cfbc1b6e,LINDEN,NJ,EPHRATA,PA
6c3995118a5aea6d01c989a43d902a03,ONTARIO,CA,EL MONTE,CA
e7aed67f85a78f2ec2b3ea71edebc5a0,DOTHAN,AL,MONTGOMERY,AL
d6891452d959b708e4b6055e271450c1,CANDLER,NC,ATLANTA,GA
b80fd8b790a2c61d50545042f1377009,WANAQUE,NJ,CASTILE,NY
0965f99002fd76407fdffb72b7aae5a2,TAUNTON,MA,WESTFIELD,MA
a15624655471685c4b48f12b2acc7517,RALEIGH,NC,GASTONIA,NC
82a7871217afab6d61e0cb8a65e3551d,COLONIAL HEIGHTS,VA,ANNAPOLIS,MD
72728d249a0fc0a5c8c7d79b436754d5,HILLSBOROUGH TOWNSHIP,NJ,PHILADELPHIA,PA
1df01fb357682f0ad11afc612b808355,PENNSAUKEN TOWNSHIP,NJ,NEWARK,NJ
9a2c35e9d8a9f0db736e9498e6524699,LA PORTE,TX,FORT WORTH,TX
9e46ea499a9bd1adc5672ad1fbc37d07,PINE MOUNTAIN VALLEY,GA,GASTONIA,NC
cd6f21b45a69aa611254b3c930b95874,SAN ANTONIO,TX,HOUSTON,TX
d067f46afd715e631dd70c52e9ba9f35,WINDSOR LOCKS,CT,YORK,PA
dccf9382171d7067f52aa9ad4cb62d17,SANTA ANA,CA,CARSON,CA
dd7dc91f9fad78a13163ae0afede6d96,POTTSTOWN,PA,NEWARK,NJ
0cc0cc27376dd5bab1fdfd065765b1ae,EDGEMERE,MD,ALTOONA,PA
7402864e4cab13ec185c8c1076a3c930,WALPOLE,MA,NEWARK,NJ
8ddbad980818cf5b4665cfd53169cf5f,WATERBURY,CT,NEWARK,NJ
701d83ae3b244d47279c7b095f0fce7a,COLONIAL HEIGHTS,VA,DANVILLE,VA
f5b203f0da0c087c94cc43463879d16d,EDINBURG,VA,YORK,PA
ed8c406b4b0417979477e28d46e4e4b3,NORCROSS,GA,ATLANTA,GA
6de3ee11f7a029ff88b1869c2ade932c,LYNN,MA,NEWARK,NJ
cb0dfc36185d825a7edf04d420111852,ELK GROVE,CA,COMMERCE,CA
24fdc1bea7c59780baca305682d187bd,MOUNT VERNON,OH,BOTKINS,OH
420149eef6d7c905d904fad722a5a725,PLANT CITY,FL,ATLANTA,GA
6f0233936d3d59ace2159f1a60fcc737,ST. LOUIS,MO,HERCULANEUM,MO
a3aeea82329d3e52085546ba6ee1a7e5,CARTERSVILLE,GA,LAGRANGE,GA
2d7d6674ba5d706b9b274ca5313fb560,CHESTER,PA,PHILADELPHIA,PA
8a422af69624219a83ae089ebdcb19f2,WILLIAMSBURG,VA,DALLAS,TX
5da7eaf738aec9708cab6ce9956061b8,MERCED,CA,HAYWARD,CA
54fb9274c4f7b5e6b7997a5aee6c9ba3,YORK,PA,WILLIAMSPORT,MD
6da11f1d9134a793ac89c5c9cae8e41f,TUCSON,AZ,METHUEN,MA
7060b163c87e9ce146ae06dc2ce499e7,EAGAN,MN,MORRIS,IL
3752b6993b85a286d8d2562fee648942,CARTERSVILLE,GA,VIDALIA,GA
f9dcd854fac04be6fd231c146032b5c4,NEWARK,NJ,NORCROSS,GA
52c020e52368c1484da2c90b10ba8067,FAIRFIELD,CA,PUYALLUP,WA
27c56cfebe6dac49e560eeaa196232f0,STOWE,PA,CHAPEL HILL,TN
e52eba82419a3ff9bc3c0c49da56cb59,FORT COLLINS,CO,TRENTON,NJ
fa9d58ef9ac37158ef3a0b82494736f5,COLONIAL HEIGHTS,VA,MYRTLE BEACH,SC
9627c1a9c4f9d98cc249d5fc29059b9f,MERRIMACK,NH,NORWICH,CT
e6c6914f800acdf02c7fcdbe5be1c91e,COLONIAL HEIGHTS,VA,DEERFIELD BEACH,FL
3e2dfe8374230e03c988a07b5f80a228,RIVERSIDE,CA,POMONA,CA
77e6709343b1ea50a529249082f663fe,SANTA ANA,CA,FONTANA,CA
98b6e4930c100983737c41d4cbb0bf8d,MANNING,SC,PORTLAND,OR
b6c074c149c85d4419a20509a7118f82,LAKEWOOD,NY,PORTLAND,OR
957b705f142ebe08bb2c5e4c73e7c056,FAIRFIELD,CA,NEWARK,NJ
b6706e714ce2031f36b76fb1622aa553,COMPTON,CA,COMMERCE,GA
38ca1c68e4053b1a3eba7d9b610c1eef,LA PINE,OR,METHUEN,MA
b5db387a949cc76727fb85dcbc446ef2,SAINT ANTHONY,ID,ORLANDO,FL
adf26a2c0888b06301a7ab0430f2eab9,BINGEN,WA,METHUEN,MA
0bb05a062df1b8182b2dadcae41e3669,FOREST CITY,NC,PORTLAND,OR
d5782de860624b47edb408cb54feef33,MORGANTON,NC,RENO,NV
7cf95fd46bb72b3927d1776eeeded655,FAIRFIELD,CA,RAPID CITY,SD
b34d7497b95c14e9bdf1f34fca69d8c8,FORT COLLINS,CO,ORLANDO,FL
f3664386407649d69071fd690c08ee69,UNION GAP,WA,DENVER,CO
9733992b966f7a83594e31da23a42393,NEWARK,NJ,BOISE,ID
14f75566b0dff12d1d09f0008782117c,DECATUR,IN,CLEVELAND,NC
062df6a9fbd30385dd0f12e7782c8b96,LOS ANGELES,CA,MISSOULA,MT
1dbeb3a29a559711f7930f843e23d73f,LOS ANGELES,CA,PLANT CITY,FL
2bd310255129b92b50fd8766c2493a76,VINELAND,NJ,PORTLAND,OR
cf6caa808090ae47f351d62b6971f310,POYNETTE,WI,DENVER,CO
e7ca099247ed041d1e1a50cc58c0672c,BALDWINSVILLE,NY,CLIFTON,CO
61d82b4aa27260bd815f97725e175cf3,COMPTON,CA,MCCOOK,IL
b3e5e9e455ac3b44700088487585c1d9,CRETE,IL,SANTA ANA,CA
f04e501859f6c90698fa6838aba04258,TRACY,CA,HEBRON,KY
106b0152a2ac663104654de389606cda,PLANT CITY,FL,COMMERCE,CA
90c8ed747b7c57a95b81c66a33df652e,LOS ANGELES,CA,GRANITE CITY,IL
1b996709c2a20a57cecdd4f3ece5fdcd,QUINCY,WA,BREA,CA
93648853541a4568b60f6023c1c7c674,LOS ANGELES,CA,MCALLEN,TX
58dcceba17d6be8b40510fa4d1c01e95,WATERTOWN,WI,SANTA ANA,CA
c6a8e8f9ed196e14e80d8add1ba83a36,SANTA ANA,CA,MCDONOUGH,GA
2d7d0ff2f4fd387fd2395932df62ed6e,BROOKLYN PARK,MN,TAMPA,FL
aec68f30d200ae277cdac6a8092c6271,FORT COLLINS,CO,BANGOR,ME
ef8d94df83302aa4e0ee150f0e791b73,FAIRFIELD,CA,IDAHO FALLS,ID
750e15a7dae43f04dffc3df503ac8167,BOLINGBROOK,IL,RENO,NV
db23ce90c1232326dbddc9bbe94c3d11,BOLINGBROOK,IL,FORT WORTH,TX
456184ea312980b14ff5513c4ce4c20b,WARREN,OH,LAREDO,TX
f464733b0fec79916a9f7c87938bb2e6,RANCHO CUCAMONGA,CA,LAREDO,TX
a577a349e73c7a2e65118eba1edd8670,FORT COLLINS,CO,SPOKANE VALLEY,WA
e3e0617bcd055c068fc713e59bc4e38f,SANTA ANA,CA,MCCOOK,IL
7fab2fcf7219e581773f9f6d6242028f,PLANT CITY,FL,HATFIELD,MA
439c99030da123d2e323de7f63cd1c0e,ST. LOUIS,MO,THIEF RIVER FALLS,MN
cc3f01b3380e0f12d15f480c403a6dce,FORT COLLINS,CO,ELKTON,MD
460a9ad4a2dcbb6a7fd5bf8568a2882b,BOLINGBROOK,IL,YORK,PA
29ebcea996744c73ca3805d844414b98,BOLINGBROOK,IL,BUFORD,GA
76e8bb4c28f4ae70268da775df69e1b6,GRANITE CITY,IL,THIEF RIVER FALLS,MN
1f2877248a2d0ead406377d78779ac8e,AURORA,CO,ROCK SPRINGS,WY
c7e5b692303937e10a7e9f715288d5ea,DENVER,CO,LAYTON,UT
815030701bd52532cfdc1f0100f0a354,SANTA ANA,CA,MOUNT STERLING,IL
8b1deb4aba804000a8071f12db6161f6,GRANITE CITY,IL,MINOT,ND
b7cbd5cd10aab1c28f76b681f8afda36,GRANITE CITY,IL,BAY CITY,MI
7ee033121c6d5ea48fb46479df274875,BRAITHWAITE,LA,FLEETWOOD,PA
9171fc953d3f566b4cef01088d9b6d7b,LOS ANGELES,CA,ELKO,NV
b7852c4531add788b01ef511656cc774,POMPANO BEACH,FL,METHUEN,MA
aa73d9abac4af7c781140843fa336668,WYLIE,TX,STATESVILLE,NC
4e0f55a08f36bf553108dc1dc51253ae,GRANITE CITY,IL,DOWAGIAC,MI
13553b668248dc52c78d2aa6eca312c1,DENVER,CO,BOLINGBROOK,IL
0422fae1d5d915c082e6c8858df57d1a,NEWARK,NJ,SPRINGFIELD,VA
3f4b23734eb7fd1995afc7a15a9b4995,AURORA,CO,DURANGO,CO
882061ab57c1a8be47bdc5d7a244c21c,GRANITE CITY,IL,NORWALK,OH
84d0099526b334a0aff2a7c8bbf52c6f,IDAHO FALLS,ID,PACIFIC,WA
76bc6e061f9ff2bd1e8b73bece163195,1,LA,FLEETWOOD,PA
ffa755eda8b44291f15438381a077f44,PLANT CITY,FL,DUNMORE,PA
3739338e89e26986acc826ad04b4cd7f,GRANITE CITY,IL,SENECA,KS
23d86c47e1511bdb1addac5ba3ba89dd,NEWARK,NJ,ATHENS,GA
93ebf035d37db6f2c67e2c64f4bb8838,GEORGETOWN,SC,TINTON FALLS,NJ
849eef4e9a96a98f5abf60ab8e45f3bf,WILLIAMSBURG,VA,PIEDMONT,SC
552d7f1220907f4e238258870ae3b2a6,PLEASANT PRAIRIE,WI,ST. LOUIS,MO
